['1552697222290', '192.168.50.145', 'NA', 'NA', '0.666', '1.803', '-8.363', '-2.179', '4.480', '-1.785', '0.276', '0.069', '-0.408', '1029.72', 'NA']
['1552697222318', '192.168.50.145', '3.24', '10205FE010002C92', '0.666', '1.803', '-8.363', '-2.179', '4.480', '-1.785', '0.276', '0.069', '-0.408', '1029.72', '-89']
['1552697222339', '192.168.50.145', 'NA', 'NA', '0.566', '2.774', '-8.770', '2.940', '6.020', '-13.641', '0.272', '0.077', '-0.416', '1029.72', 'NA']
['1552697222416', '192.168.50.145', 'NA', 'NA', '-0.170', '2.928', '-10.417', '-3.622', '-0.131', '-13.466', '0.270', '0.089', '-0.426', '1029.71', 'NA']
['1552697222438', '192.168.50.145', '3.23', '10205FE010002C92', '-0.170', '2.928', '-10.417', '-3.622', '-0.131', '-13.466', '0.270', '0.089', '-0.426', '1029.71', '-89']
['1552697222458', '192.168.50.145', 'NA', 'NA', '-0.170', '2.928', '-10.417', '-3.622', '-0.131', '-13.466', '0.270', '0.089', '-0.426', '1029.71', 'NA']
['1552697222545', '192.168.50.145', 'NA', 'NA', '0.690', '1.683', '-13.510', '12.609', '-20.878', '-11.646', '0.253', '0.097', '-0.428', '1029.69', 'NA']
['1552697222581', '192.168.50.145', 'NA', 'NA', '0.690', '1.683', '-13.510', '12.609', '-20.878', '-11.646', '0.253', '0.097', '-0.428', '1029.69', 'NA']
['1552697222595', '192.168.50.145', '17.42', '10205FE0100031F3', '0.945', '1.089', '-11.646', '-3.841', '-0.044', '-22.470', '0.254', '0.111', '-0.416', '1029.75', '-100']
['1552697222674', '192.168.50.145', 'NA', 'NA', '0.680', '1.015', '-10.881', '28.420', '-14.717', '4.550', '0.239', '0.103', '-0.413', '1029.76', 'NA']
['1552697222701', '192.168.50.145', 'NA', 'NA', '0.680', '1.015', '-10.881', '28.420', '-14.717', '4.550', '0.239', '0.103', '-0.413', '1029.76', 'NA']
['1552697222722', '192.168.50.145', 'NA', 'NA', '1.220', '1.959', '-9.508', '27.493', '9.039', '-14.052', '0.250', '0.088', '-0.418', '1029.72', 'NA']
['1552697222811', '192.168.50.145', 'NA', 'NA', '0.116', '2.095', '-8.992', '20.974', '-5.661', '-9.170', '0.247', '0.089', '-0.426', '1029.73', 'NA']
['1552697222851', '192.168.50.145', 'NA', 'NA', '0.033', '2.156', '-8.204', '7.682', '-21.630', '4.734', '0.235', '0.082', '-0.422', '1029.73', 'NA']
['1552697222930', '192.168.50.145', 'NA', 'NA', '-0.237', '2.210', '-8.596', '-6.466', '-4.769', '10.045', '0.239', '0.087', '-0.421', '1029.76', 'NA']
['1552697223060', '192.168.50.145', 'NA', 'NA', '-0.379', '2.049', '-12.396', '-7.262', '-20.247', '24.841', '0.233', '0.087', '-0.430', '1029.73', 'NA']
['1552697223110', '192.168.50.145', 'NA', 'NA', '-0.072', '3.552', '-13.402', '15.181', '-13.396', '-0.639', '0.228', '0.084', '-0.441', '1029.80', 'NA']
['1552697223190', '192.168.50.145', 'NA', 'NA', '-1.716', '-1.693', '-13.979', '-30.292', '14.814', '1.207', '0.227', '0.085', '-0.431', '1029.73', 'NA']
['1552697223218', '192.168.50.145', '9.97', '10205FE010002BEB', '-1.716', '-1.693', '-13.979', '-30.292', '14.814', '1.207', '0.227', '0.085', '-0.431', '1029.73', '-84']
['1552697223240', '192.168.50.145', '3.73', '10205FE010002C92', '0.001', '-0.025', '-11.143', '-14.044', '-14.490', '10.141', '0.239', '0.093', '-0.421', '1029.71', '-83']
['1552697223307', '192.168.50.145', 'NA', 'NA', '-0.286', '1.446', '-8.906', '-5.714', '-1.015', '-4.996', '0.232', '0.095', '-0.427', '1029.77', 'NA']
['1552697223327', '192.168.50.145', '18.88', '10205FE010002C95', '-0.286', '1.446', '-8.906', '-5.714', '-1.015', '-4.996', '0.232', '0.095', '-0.427', '1029.77', '-92']
['1552697223342', '192.168.50.145', '10.03', '10205FE010002BEB', '-0.286', '1.446', '-8.906', '-5.714', '-1.015', '-4.996', '0.232', '0.095', '-0.427', '1029.77', '-83']
['1552697223415', '192.168.50.145', 'NA', 'NA', '0.067', '2.271', '-9.124', '-23.424', '12.705', '8.102', '0.245', '0.117', '-0.402', '1029.81', 'NA']
['1552697223440', '192.168.50.145', '35.76', '10205FE010002A7B', '0.067', '2.271', '-9.124', '-23.424', '12.705', '8.102', '0.245', '0.117', '-0.402', '1029.81', '-88']
['1552697223462', '192.168.50.145', 'NA', 'NA', '0.067', '2.271', '-9.124', '-23.424', '12.705', '8.102', '0.245', '0.117', '-0.402', '1029.81', 'NA']
['1552697223537', '192.168.50.145', 'NA', 'NA', '-1.031', '2.032', '-10.032', '-3.010', '2.301', '-11.926', '0.247', '0.133', '-0.397', '1029.80', 'NA']
